code_segment,nom_segment,type_route,longueur_km,nombre_voies,capacite_vehicules_h,lat_debut,lon_debut,lat_fin,lon_fin,lat_centre,lon_centre,est_axe_critique,source_donnee,date_extraction
OSM_5807100024_732121905_0,Segment sans nom,Rue secondaire,0.07730235096453722,2,1600,4.0509183,9.7489292,4.0507297,9.7496,4.050824000062529,9.74926460005069,False,OpenStreetMap,2026-05-30T20:07:09.399149
OSM_5807100024_5807100026_0,Segment sans nom,Rue secondaire,0.04732900395101797,2,1600,4.0509183,9.7489292,4.0510471,9.7485225,4.050982700022664,9.748725850020335,False,OpenStreetMap,2026-05-30T20:07:09.399149
OSM_5807100024_5807100025_0,Segment sans nom,Rue secondaire,0.05640042873385052,2,1600,4.0509183,9.7489292,4.0514035,9.7490774,4.051160900008229,9.74900329997188,False,OpenStreetMap,2026-05-30T20:07:09.399149
OSM_5807100025_5807100024_0,Segment sans nom,Rue secondaire,0.05640042873385052,2,1600,4.0514035,9.7490774,4.0509183,9.7489292,4.051160900008229,9.74900329997188,False,OpenStreetMap,2026-05-30T20:07:09.399149
OSM_5807100026_5807100024_0,Segment sans nom,Rue secondaire,0.04732900395101797,2,1600,4.0510471,9.7485225,4.0509183,9.7489292,4.050982700022664,9.748725850020335,False,OpenStreetMap,2026-05-30T20:07:09.399149
OSM_5807100026_732153676_0,Segment sans nom,Rue secondaire,0.06433937039513925,2,1600,4.0510471,9.7485225,4.0512221,9.7479696,4.051134600041894,9.748246050037565,False,OpenStreetMap,2026-05-30T20:07:09.399149
OSM_5807100026_5807100027_0,Segment sans nom,Rue secondaire,0.07737973491362192,2,1600,4.0510471,9.7485225,4.0517119,9.7487287,4.0513795000157655,9.748625599946608,False,OpenStreetMap,2026-05-30T20:07:09.399149
OSM_5807100027_5807100026_0,Segment sans nom,Rue secondaire,0.07737973491362192,2,1600,4.0517119,9.7487287,4.0510471,9.7485225,4.0513795000157655,9.748625599946608,False,OpenStreetMap,2026-05-30T20:07:09.399149
OSM_5807100041_5807100043_0,Segment sans nom,Rue secondaire,0.11328968250213718,2,1600,4.0472475,9.7461505,4.0463515,9.7456643,4.046799500063798,9.745907399850468,False,OpenStreetMap,2026-05-30T20:07:09.399149
OSM_5807100041_5807100051_0,Segment sans nom,Rue secondaire,0.04614515739783561,2,1600,4.0472475,9.7461505,4.0474838,9.7458085,4.047365650013662,9.745979500026541,False,OpenStreetMap,2026-05-30T20:07:09.399149
OSM_5807100041_5807100042_0,Segment sans nom,Rue secondaire,0.15347939153000661,2,1600,4.0472475,9.7461505,4.0461476,9.7460083,4.046738510863508,9.74626535986113,False,OpenStreetMap,2026-05-30T20:07:09.399149
OSM_5807100042_5807100043_0,Segment sans nom,Rue secondaire,0.04438369849412822,2,1600,4.0461476,9.7460083,4.0463515,9.7456643,4.046249550014433,9.745836300023702,False,OpenStreetMap,2026-05-30T20:07:09.399149
OSM_5807100042_5807100047_0,Segment sans nom,Rue secondaire,0.031007894475065186,2,1600,4.0461476,9.7460083,4.0459033,9.7458735,4.046025450004864,9.745940899988735,False,OpenStreetMap,2026-05-30T20:07:09.399149
OSM_5807100042_5807100041_0,Segment sans nom,Rue secondaire,0.15347939153000661,2,1600,4.0461476,9.7460083,4.0472475,9.7461505,4.046738510863508,9.746265359861132,False,OpenStreetMap,2026-05-30T20:07:09.399149
